PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Title,FamSize,FamType,TicketGroupSize,FareBinned,Deck
97,0,1,male,71.0,0,0,PC 17754,34.6542,C,Mr,1,Solo,OTHER,Very Low,A
98,1,1,male,23.0,0,1,PC 17759,63.3583,C,Mr,2,Small,OTHER,Low,D
99,1,2,female,34.0,0,1,231919,23.0,S,Mrs,2,Small,OTHER,Very Low,Unknown
100,0,2,male,34.0,1,0,244367,26.0,S,Mr,2,Small,OTHER,Very Low,Unknown
101,0,3,female,28.0,0,0,349245,7.8958,S,Miss,1,Solo,OTHER,Very Low,Unknown
102,0,3,male,,0,0,349215,7.8958,S,Mr,1,Solo,OTHER,Very Low,Unknown
103,0,1,male,21.0,0,1,35281,77.2875,S,Mr,2,Small,OTHER,Low,D
104,0,3,male,33.0,0,0,7540,8.6542,S,Mr,1,Solo,OTHER,Very Low,Unknown
105,0,3,male,37.0,2,0,3101276,7.925,S,Mr,3,Small,OTHER,Very Low,Unknown
106,0,3,male,28.0,0,0,349207,7.8958,S,Mr,1,Solo,OTHER,Very Low,Unknown
107,1,3,female,21.0,0,0,343120,7.65,S,Miss,1,Solo,OTHER,Very Low,Unknown
108,1,3,male,,0,0,312991,7.775,S,Mr,1,Solo,OTHER,Very Low,Unknown
109,0,3,male,38.0,0,0,349249,7.8958,S,Mr,1,Solo,OTHER,Very Low,Unknown
110,1,3,female,,1,0,371110,24.15,Q,Miss,2,Small,OTHER,Very Low,Unknown
111,0,1,male,47.0,0,0,110465,52.0,S,Mr,1,Solo,OTHER,Low,C
112,0,3,female,14.5,1,0,2665,14.4542,C,Miss,2,Small,OTHER,Very Low,Unknown
113,0,3,male,22.0,0,0,324669,8.05,S,Mr,1,Solo,OTHER,Very Low,Unknown
114,0,3,female,20.0,1,0,4136,9.825,S,Miss,2,Small,OTHER,Very Low,Unknown
115,0,3,female,17.0,0,0,2627,14.4583,C,Miss,1,Solo,OTHER,Very Low,Unknown
116,0,3,male,21.0,0,0,STON/O 2. 3101294,7.925,S,Mr,1,Solo,OTHER,Very Low,Unknown
117,0,3,male,70.5,0,0,370369,7.75,Q,Mr,1,Solo,OTHER,Very Low,Unknown
118,0,2,male,29.0,1,0,11668,21.0,S,Mr,2,Small,OTHER,Very Low,Unknown
119,0,1,male,24.0,0,1,PC 17558,247.5208,C,Mr,2,Small,OTHER,High,B
120,0,3,female,2.0,4,2,347082,31.275,S,Miss,7,Large,347082,Very Low,Unknown
121,0,2,male,21.0,2,0,S.O.C. 14879,73.5,S,Mr,3,Small,S.O.C. 14879,Low,Unknown
122,0,3,male,,0,0,A4. 54510,8.05,S,Mr,1,Solo,OTHER,Very Low,Unknown
123,0,2,male,32.5,1,0,237736,30.0708,C,Mr,2,Small,OTHER,Very Low,Unknown
124,1,2,female,32.5,0,0,27267,13.0,S,Miss,1,Solo,OTHER,Very Low,E
125,0,1,male,54.0,0,1,35281,77.2875,S,Mr,2,Small,OTHER,Low,D
126,1,3,male,12.0,1,0,2651,11.2417,C,Master,2,Small,OTHER,Very Low,Unknown
127,0,3,male,,0,0,370372,7.75,Q,Mr,1,Solo,OTHER,Very Low,Unknown
128,1,3,male,24.0,0,0,C 17369,7.1417,S,Mr,1,Solo,OTHER,Very Low,Unknown
129,1,3,female,,1,1,2668,22.3583,C,Miss,3,Small,OTHER,Very Low,F
130,0,3,male,45.0,0,0,347061,6.975,S,Mr,1,Solo,OTHER,Very Low,Unknown
131,0,3,male,33.0,0,0,349241,7.8958,C,Mr,1,Solo,OTHER,Very Low,Unknown
132,0,3,male,20.0,0,0,SOTON/O.Q. 3101307,7.05,S,Mr,1,Solo,OTHER,Very Low,Unknown
133,0,3,female,47.0,1,0,A/5. 3337,14.5,S,Mrs,2,Small,OTHER,Very Low,Unknown
134,1,2,female,29.0,1,0,228414,26.0,S,Mrs,2,Small,OTHER,Very Low,Unknown
135,0,2,male,25.0,0,0,C.A. 29178,13.0,S,Mr,1,Solo,OTHER,Very Low,Unknown
136,0,2,male,23.0,0,0,SC/PARIS 2133,15.0458,C,Mr,1,Solo,OTHER,Very Low,Unknown
137,1,1,female,19.0,0,2,11752,26.2833,S,Miss,3,Small,OTHER,Very Low,D
138,0,1,male,37.0,1,0,113803,53.1,S,Mr,2,Small,OTHER,Low,C
139,0,3,male,16.0,0,0,7534,9.2167,S,Mr,1,Solo,OTHER,Very Low,Unknown
140,0,1,male,24.0,0,0,PC 17593,79.2,C,Mr,1,Solo,OTHER,Low,B
141,0,3,female,,0,2,2678,15.2458,C,Mrs,3,Small,OTHER,Very Low,Unknown
142,1,3,female,22.0,0,0,347081,7.75,S,Miss,1,Solo,OTHER,Very Low,Unknown
143,1,3,female,24.0,1,0,STON/O2. 3101279,15.85,S,Mrs,2,Small,OTHER,Very Low,Unknown
144,0,3,male,19.0,0,0,365222,6.75,Q,Mr,1,Solo,OTHER,Very Low,Unknown
145,0,2,male,18.0,0,0,231945,11.5,S,Mr,1,Solo,OTHER,Very Low,Unknown
146,0,2,male,19.0,1,1,C.A. 33112,36.75,S,Mr,3,Small,OTHER,Very Low,Unknown
147,1,3,male,27.0,0,0,350043,7.7958,S,Mr,1,Solo,OTHER,Very Low,Unknown
148,0,3,female,9.0,2,2,W./C. 6608,34.375,S,Miss,5,Large,W./C. 6608,Very Low,Unknown
149,0,2,male,36.5,0,2,230080,26.0,S,Mr,3,Small,OTHER,Very Low,F
150,0,2,male,42.0,0,0,244310,13.0,S,Officer,1,Solo,OTHER,Very Low,Unknown
151,0,2,male,51.0,0,0,S.O.P. 1166,12.525,S,Officer,1,Solo,OTHER,Very Low,Unknown
152,1,1,female,22.0,1,0,113776,66.6,S,Mrs,2,Small,OTHER,Low,C
153,0,3,male,55.5,0,0,A.5. 11206,8.05,S,Mr,1,Solo,OTHER,Very Low,Unknown
154,0,3,male,40.5,0,2,A/5. 851,14.5,S,Mr,3,Small,OTHER,Very Low,Unknown
155,0,3,male,,0,0,Fa 265302,7.3125,S,Mr,1,Solo,OTHER,Very Low,Unknown
156,0,1,male,51.0,0,1,PC 17597,61.3792,C,Mr,2,Small,OTHER,Low,Unknown
157,1,3,female,16.0,0,0,35851,7.7333,Q,Miss,1,Solo,OTHER,Very Low,Unknown
158,0,3,male,30.0,0,0,SOTON/OQ 392090,8.05,S,Mr,1,Solo,OTHER,Very Low,Unknown
159,0,3,male,,0,0,315037,8.6625,S,Mr,1,Solo,OTHER,Very Low,Unknown
160,0,3,male,,8,2,CA. 2343,69.55,S,Master,11,Large,CA. 2343,Low,Unknown
161,0,3,male,44.0,0,1,371362,16.1,S,Mr,2,Small,OTHER,Very Low,Unknown
162,1,2,female,40.0,0,0,C.A. 33595,15.75,S,Mrs,1,Solo,OTHER,Very Low,Unknown
163,0,3,male,26.0,0,0,347068,7.775,S,Mr,1,Solo,OTHER,Very Low,Unknown
164,0,3,male,17.0,0,0,315093,8.6625,S,Mr,1,Solo,OTHER,Very Low,Unknown
165,0,3,male,1.0,4,1,3101295,39.6875,S,Master,6,Large,3101295,Very Low,Unknown
166,1,3,male,9.0,0,2,363291,20.525,S,Master,3,Small,OTHER,Very Low,Unknown
167,1,1,female,,0,1,113505,55.0,S,Mrs,2,Small,OTHER,Low,E
168,0,3,female,45.0,1,4,347088,27.9,S,Mrs,6,Large,347088,Very Low,Unknown
169,0,1,male,,0,0,PC 17318,25.925,S,Mr,1,Solo,OTHER,Very Low,Unknown
170,0,3,male,28.0,0,0,1601,56.4958,S,Mr,1,Solo,1601,Low,Unknown
171,0,1,male,61.0,0,0,111240,33.5,S,Mr,1,Solo,OTHER,Very Low,B
172,0,3,male,4.0,4,1,382652,29.125,Q,Master,6,Large,382652,Very Low,Unknown
173,1,3,female,1.0,1,1,347742,11.1333,S,Miss,3,Small,OTHER,Very Low,Unknown
174,0,3,male,21.0,0,0,STON/O 2. 3101280,7.925,S,Mr,1,Solo,OTHER,Very Low,Unknown
175,0,1,male,56.0,0,0,17764,30.6958,C,Mr,1,Solo,OTHER,Very Low,A
176,0,3,male,18.0,1,1,350404,7.8542,S,Mr,3,Small,OTHER,Very Low,Unknown
177,0,3,male,,3,1,4133,25.4667,S,Master,5,Large,4133,Very Low,Unknown
178,0,1,female,50.0,0,0,PC 17595,28.7125,C,Miss,1,Solo,OTHER,Very Low,C
179,0,2,male,30.0,0,0,250653,13.0,S,Mr,1,Solo,OTHER,Very Low,Unknown
180,0,3,male,36.0,0,0,LINE,0.0,S,Mr,1,Solo,LINE,Zero,Unknown
181,0,3,female,,8,2,CA. 2343,69.55,S,Miss,11,Large,CA. 2343,Low,Unknown
182,0,2,male,,0,0,SC/PARIS 2131,15.05,C,Mr,1,Solo,OTHER,Very Low,Unknown
183,0,3,male,9.0,4,2,347077,31.3875,S,Master,7,Large,347077,Very Low,Unknown
184,1,2,male,1.0,2,1,230136,39.0,S,Master,4,Small,OTHER,Very Low,F
185,1,3,female,4.0,0,2,315153,22.025,S,Miss,3,Small,OTHER,Very Low,Unknown
186,0,1,male,,0,0,113767,50.0,S,Mr,1,Solo,OTHER,Very Low,A
187,1,3,female,,1,0,370365,15.5,Q,Mrs,2,Small,OTHER,Very Low,Unknown
188,1,1,male,45.0,0,0,111428,26.55,S,Mr,1,Solo,OTHER,Very Low,Unknown
189,0,3,male,40.0,1,1,364849,15.5,Q,Mr,3,Small,OTHER,Very Low,Unknown
190,0,3,male,36.0,0,0,349247,7.8958,S,Mr,1,Solo,OTHER,Very Low,Unknown
191,1,2,female,32.0,0,0,234604,13.0,S,Mrs,1,Solo,OTHER,Very Low,Unknown
192,0,2,male,19.0,0,0,28424,13.0,S,Mr,1,Solo,OTHER,Very Low,Unknown
193,1,3,female,19.0,1,0,350046,7.8542,S,Miss,2,Small,OTHER,Very Low,Unknown
194,1,2,male,3.0,1,1,230080,26.0,S,Master,3,Small,OTHER,Very Low,F
195,1,1,female,44.0,0,0,PC 17610,27.7208,C,Mrs,1,Solo,OTHER,Very Low,B
196,1,1,female,58.0,0,0,PC 17569,146.5208,C,Miss,1,Solo,OTHER,Medium,B
197,0,3,male,,0,0,368703,7.75,Q,Mr,1,Solo,OTHER,Very Low,Unknown
198,0,3,male,42.0,0,1,4579,8.4042,S,Mr,2,Small,OTHER,Very Low,Unknown
199,1,3,female,,0,0,370370,7.75,Q,Miss,1,Solo,OTHER,Very Low,Unknown
200,0,2,female,24.0,0,0,248747,13.0,S,Miss,1,Solo,OTHER,Very Low,Unknown
201,0,3,male,28.0,0,0,345770,9.5,S,Mr,1,Solo,OTHER,Very Low,Unknown
202,0,3,male,,8,2,CA. 2343,69.55,S,Mr,11,Large,CA. 2343,Low,Unknown
203,0,3,male,34.0,0,0,3101264,6.4958,S,Mr,1,Solo,OTHER,Very Low,Unknown
204,0,3,male,45.5,0,0,2628,7.225,C,Mr,1,Solo,OTHER,Very Low,Unknown
205,1,3,male,18.0,0,0,A/5 3540,8.05,S,Mr,1,Solo,OTHER,Very Low,Unknown
206,0,3,female,2.0,0,1,347054,10.4625,S,Miss,2,Small,OTHER,Very Low,G
207,0,3,male,32.0,1,0,3101278,15.85,S,Mr,2,Small,OTHER,Very Low,Unknown
208,1,3,male,26.0,0,0,2699,18.7875,C,Mr,1,Solo,OTHER,Very Low,Unknown
209,1,3,female,16.0,0,0,367231,7.75,Q,Miss,1,Solo,OTHER,Very Low,Unknown
210,1,1,male,40.0,0,0,112277,31.0,C,Mr,1,Solo,OTHER,Very Low,A
211,0,3,male,24.0,0,0,SOTON/O.Q. 3101311,7.05,S,Mr,1,Solo,OTHER,Very Low,Unknown
212,1,2,female,35.0,0,0,F.C.C. 13528,21.0,S,Miss,1,Solo,OTHER,Very Low,Unknown
213,0,3,male,22.0,0,0,A/5 21174,7.25,S,Mr,1,Solo,OTHER,Very Low,Unknown
214,0,2,male,30.0,0,0,250646,13.0,S,Mr,1,Solo,OTHER,Very Low,Unknown
215,0,3,male,,1,0,367229,7.75,Q,Mr,2,Small,OTHER,Very Low,Unknown
216,1,1,female,31.0,1,0,35273,113.275,C,Miss,2,Small,OTHER,Medium,D
217,1,3,female,27.0,0,0,STON/O2. 3101283,7.925,S,Miss,1,Solo,OTHER,Very Low,Unknown
218,0,2,male,42.0,1,0,243847,27.0,S,Mr,2,Small,OTHER,Very Low,Unknown
219,1,1,female,32.0,0,0,11813,76.2917,C,Miss,1,Solo,OTHER,Low,D
220,0,2,male,30.0,0,0,W/C 14208,10.5,S,Mr,1,Solo,OTHER,Very Low,Unknown
221,1,3,male,16.0,0,0,SOTON/OQ 392089,8.05,S,Mr,1,Solo,OTHER,Very Low,Unknown
222,0,2,male,27.0,0,0,220367,13.0,S,Mr,1,Solo,OTHER,Very Low,Unknown
223,0,3,male,51.0,0,0,21440,8.05,S,Mr,1,Solo,OTHER,Very Low,Unknown
224,0,3,male,,0,0,349234,7.8958,S,Mr,1,Solo,OTHER,Very Low,Unknown
225,1,1,male,38.0,1,0,19943,90.0,S,Mr,2,Small,OTHER,Low,C
226,0,3,male,22.0,0,0,PP 4348,9.35,S,Mr,1,Solo,OTHER,Very Low,Unknown
227,1,2,male,19.0,0,0,SW/PP 751,10.5,S,Mr,1,Solo,OTHER,Very Low,Unknown
228,0,3,male,20.5,0,0,A/5 21173,7.25,S,Mr,1,Solo,OTHER,Very Low,Unknown
229,0,2,male,18.0,0,0,236171,13.0,S,Mr,1,Solo,OTHER,Very Low,Unknown
230,0,3,female,,3,1,4133,25.4667,S,Miss,5,Large,4133,Very Low,Unknown
231,1,1,female,35.0,1,0,36973,83.475,S,Mrs,2,Small,OTHER,Low,C
232,0,3,male,29.0,0,0,347067,7.775,S,Mr,1,Solo,OTHER,Very Low,Unknown
233,0,2,male,59.0,0,0,237442,13.5,S,Mr,1,Solo,OTHER,Very Low,Unknown
234,1,3,female,5.0,4,2,347077,31.3875,S,Miss,7,Large,347077,Very Low,Unknown
235,0,2,male,24.0,0,0,C.A. 29566,10.5,S,Mr,1,Solo,OTHER,Very Low,Unknown
236,0,3,female,,0,0,W./C. 6609,7.55,S,Miss,1,Solo,OTHER,Very Low,Unknown
237,0,2,male,44.0,1,0,26707,26.0,S,Mr,2,Small,OTHER,Very Low,Unknown
238,1,2,female,8.0,0,2,C.A. 31921,26.25,S,Miss,3,Small,OTHER,Very Low,Unknown
239,0,2,male,19.0,0,0,28665,10.5,S,Mr,1,Solo,OTHER,Very Low,Unknown
240,0,2,male,33.0,0,0,SCO/W 1585,12.275,S,Mr,1,Solo,OTHER,Very Low,Unknown
241,0,3,female,,1,0,2665,14.4542,C,Miss,2,Small,OTHER,Very Low,Unknown
242,1,3,female,,1,0,367230,15.5,Q,Miss,2,Small,OTHER,Very Low,Unknown
243,0,2,male,29.0,0,0,W./C. 14263,10.5,S,Mr,1,Solo,OTHER,Very Low,Unknown
244,0,3,male,22.0,0,0,STON/O 2. 3101275,7.125,S,Mr,1,Solo,OTHER,Very Low,Unknown
245,0,3,male,30.0,0,0,2694,7.225,C,Mr,1,Solo,OTHER,Very Low,Unknown
246,0,1,male,44.0,2,0,19928,90.0,Q,Officer,3,Small,OTHER,Low,C
247,0,3,female,25.0,0,0,347071,7.775,S,Miss,1,Solo,OTHER,Very Low,Unknown
248,1,2,female,24.0,0,2,250649,14.5,S,Mrs,3,Small,OTHER,Very Low,Unknown
249,1,1,male,37.0,1,1,11751,52.5542,S,Mr,3,Small,OTHER,Low,D
250,0,2,male,54.0,1,0,244252,26.0,S,Officer,2,Small,OTHER,Very Low,Unknown
251,0,3,male,,0,0,362316,7.25,S,Mr,1,Solo,OTHER,Very Low,Unknown
252,0,3,female,29.0,1,1,347054,10.4625,S,Mrs,3,Small,OTHER,Very Low,G
253,0,1,male,62.0,0,0,113514,26.55,S,Mr,1,Solo,OTHER,Very Low,C
254,0,3,male,30.0,1,0,A/5. 3336,16.1,S,Mr,2,Small,OTHER,Very Low,Unknown
255,0,3,female,41.0,0,2,370129,20.2125,S,Mrs,3,Small,OTHER,Very Low,Unknown
256,1,3,female,29.0,0,2,2650,15.2458,C,Mrs,3,Small,OTHER,Very Low,Unknown
257,1,1,female,,0,0,PC 17585,79.2,C,Mrs,1,Solo,OTHER,Low,Unknown
258,1,1,female,30.0,0,0,110152,86.5,S,Miss,1,Solo,OTHER,Low,B
259,1,1,female,35.0,0,0,PC 17755,512.3292,C,Miss,1,Solo,OTHER,Very High,Unknown
260,1,2,female,50.0,0,1,230433,26.0,S,Mrs,2,Small,OTHER,Very Low,Unknown
261,0,3,male,,0,0,384461,7.75,Q,Mr,1,Solo,OTHER,Very Low,Unknown
262,1,3,male,3.0,4,2,347077,31.3875,S,Master,7,Large,347077,Very Low,Unknown
263,0,1,male,52.0,1,1,110413,79.65,S,Mr,3,Small,OTHER,Low,E
264,0,1,male,40.0,0,0,112059,0.0,S,Mr,1,Solo,OTHER,Zero,B
265,0,3,female,,0,0,382649,7.75,Q,Miss,1,Solo,OTHER,Very Low,Unknown
266,0,2,male,36.0,0,0,C.A. 17248,10.5,S,Mr,1,Solo,OTHER,Very Low,Unknown
267,0,3,male,16.0,4,1,3101295,39.6875,S,Mr,6,Large,3101295,Very Low,Unknown
268,1,3,male,25.0,1,0,347083,7.775,S,Mr,2,Small,OTHER,Very Low,Unknown
269,1,1,female,58.0,0,1,PC 17582,153.4625,S,Mrs,2,Small,OTHER,Medium,C
270,1,1,female,35.0,0,0,PC 17760,135.6333,S,Miss,1,Solo,OTHER,Medium,C
271,0,1,male,,0,0,113798,31.0,S,Mr,1,Solo,OTHER,Very Low,Unknown
272,1,3,male,25.0,0,0,LINE,0.0,S,Mr,1,Solo,LINE,Zero,Unknown
273,1,2,female,41.0,0,1,250644,19.5,S,Mrs,2,Small,OTHER,Very Low,Unknown
274,0,1,male,37.0,0,1,PC 17596,29.7,C,Mr,2,Small,OTHER,Very Low,C
275,1,3,female,,0,0,370375,7.75,Q,Miss,1,Solo,OTHER,Very Low,Unknown
276,1,1,female,63.0,1,0,13502,77.9583,S,Miss,2,Small,OTHER,Low,D
